quartil_cameras_percap,n_subprefeituras,cameras_10k_mediana,celulares_100k_mediana,roubos_100k_mediana,furtos_100k_mediana
Q1_menor,8,9.34,484.65,266.27,211.27
Q2,8,19.28,639.81,334.2,318.7
Q3,8,27.1,764.7,324.37,359.52
Q4_maior,8,74.83,2015.32,688.91,1380.18
