ano_ocorrencia,mes_ocorrencia,subprefeitura_geosampa,subtracoes_total,roubos,furtos
2025,4,SAPOPEMBA,82,60,22
2025,4,SE,1862,434,1429
2025,4,VILA MARIA-VILA GUILHERME,254,94,160
2025,4,VILA MARIANA,459,178,281
2025,4,VILA PRUDENTE,193,121,74
2025,5,ARICANDUVA-FORMOSA-CARRAO,123,58,65
2025,5,BUTANTA,403,150,253
2025,5,CAMPO LIMPO,543,402,141
2025,5,CAPELA DO SOCORRO,481,185,296
2025,5,CASA VERDE-LIMAO-CACHOEIRINHA,229,76,153
2025,5,CIDADE ADEMAR,157,90,67
2025,5,CIDADE TIRADENTES,93,57,36
2025,5,ERMELINO MATARAZZO,60,37,23
2025,5,FREGUESIA-BRASILANDIA,192,96,96
2025,5,GUAIANASES,214,121,93
2025,5,IPIRANGA,410,216,194
2025,5,ITAIM PAULISTA,215,120,95
2025,5,ITAQUERA,302,153,149
2025,5,JABAQUARA,127,59,68
2025,5,JACANA-TREMEMBE,112,53,59
2025,5,LAPA,670,171,499
2025,5,M BOI MIRIM,381,273,108
2025,5,MOOCA,816,214,604
2025,5,PARELHEIROS,65,41,24
2025,5,PENHA,242,133,109
2025,5,PERUS-ANHANGUERA,98,34,64
2025,5,PINHEIROS,859,239,620
2025,5,PIRITUBA-JARAGUA,204,110,94
2025,5,SANTANA-TUCURUVI,322,89,233
2025,5,SANTO AMARO,427,153,274
2025,5,SAO MATEUS,220,138,82
2025,5,SAO MIGUEL,215,98,117
2025,5,SAPOPEMBA,91,67,24
2025,5,SE,2209,533,1677
2025,5,VILA MARIA-VILA GUILHERME,220,85,135
2025,5,VILA MARIANA,545,198,347
2025,5,VILA PRUDENTE,130,83,47
2025,6,ARICANDUVA-FORMOSA-CARRAO,118,42,76
2025,6,BUTANTA,344,182,162
2025,6,CAMPO LIMPO,445,325,120
2025,6,CAPELA DO SOCORRO,295,160,136
2025,6,CASA VERDE-LIMAO-CACHOEIRINHA,241,75,167
2025,6,CIDADE ADEMAR,148,83,65
2025,6,CIDADE TIRADENTES,85,55,30
2025,6,ERMELINO MATARAZZO,68,41,27
2025,6,FREGUESIA-BRASILANDIA,181,88,93
2025,6,GUAIANASES,203,110,93
2025,6,IPIRANGA,392,189,203
2025,6,ITAIM PAULISTA,163,89,74
2025,6,ITAQUERA,400,157,243
2025,6,JABAQUARA,111,56,55
2025,6,JACANA-TREMEMBE,102,51,51
2025,6,LAPA,557,181,376
2025,6,M BOI MIRIM,365,285,80
2025,6,MOOCA,884,224,660
2025,6,PARELHEIROS,50,29,21
2025,6,PENHA,231,113,118
2025,6,PERUS-ANHANGUERA,78,37,41
2025,6,PINHEIROS,891,244,648
2025,6,PIRITUBA-JARAGUA,203,98,105
2025,6,SANTANA-TUCURUVI,286,94,192
2025,6,SANTO AMARO,384,169,215
2025,6,SAO MATEUS,212,126,86
