ano_ocorrencia,mes_ocorrencia,distrito_geosampa,subtracoes_total,roubos,furtos
2025,2,JARDIM PAULISTA,170,59,111
2025,2,JARDIM SAO LUIS,137,86,51
2025,2,JOSE BONIFACIO,48,31,17
2025,2,LAJEADO,82,47,35
2025,2,LAPA,143,48,95
2025,2,LIBERDADE,162,36,126
2025,2,LIMAO,72,31,41
2025,2,MANDAQUI,26,12,14
2025,2,MARSILAC,3,3,0
2025,2,MOEMA,154,48,106
2025,2,MOOCA,105,22,83
2025,2,MORUMBI,109,31,78
2025,2,PARELHEIROS,33,21,12
2025,2,PARI,109,33,76
2025,2,PARQUE DO CARMO,49,30,19
2025,2,PEDREIRA,39,26,13
2025,2,PENHA,72,41,31
2025,2,PERDIZES,142,44,98
2025,2,PERUS,71,30,41
2025,2,PINHEIROS,516,173,343
2025,2,PIRITUBA,95,46,49
2025,2,PONTE RASA,34,17,17
2025,2,RAPOSO TAVARES,36,28,8
2025,2,REPUBLICA,493,155,338
2025,2,RIO PEQUENO,70,42,28
2025,2,SACOMA,108,76,32
2025,2,SANTA CECILIA,310,85,226
2025,2,SANTANA,269,65,204
2025,2,SANTO AMARO,253,79,174
2025,2,SAO DOMINGOS,27,18,9
2025,2,SAO LUCAS,64,51,13
2025,2,SAO MATEUS,137,87,50
2025,2,SAO MIGUEL,72,31,41
2025,2,SAO RAFAEL,69,54,15
2025,2,SAPOPEMBA,89,64,25
2025,2,SAUDE,97,52,45
2025,2,SE,311,89,223
2025,2,SOCORRO,43,26,17
2025,2,TATUAPE,167,61,107
2025,2,TREMEMBE,66,25,41
2025,2,TUCURUVI,52,14,38
2025,2,VILA ANDRADE,76,53,23
2025,2,VILA CURUCA,50,31,19
2025,2,VILA FORMOSA,41,18,23
2025,2,VILA GUILHERME,77,18,59
2025,2,VILA JACUI,92,59,33
2025,2,VILA LEOPOLDINA,62,26,36
2025,2,VILA MARIA,90,46,44
2025,2,VILA MARIANA,197,59,138
2025,2,VILA MATILDE,94,61,33
2025,2,VILA MEDEIROS,28,10,18
2025,2,VILA PRUDENTE,109,67,42
2025,2,VILA SONIA,71,44,27
2025,3,AGUA RASA,39,21,18
2025,3,ALTO DE PINHEIROS,44,19,25
2025,3,ANHANGUERA,33,15,18
2025,3,ARICANDUVA,39,24,15
2025,3,ARTUR ALVIM,90,39,51
2025,3,BARRA FUNDA,344,107,237
2025,3,BELA VISTA,314,69,245
2025,3,BELEM,160,46,114
2025,3,BOM RETIRO,263,66,197
2025,3,BRAS,218,57,161
2025,3,BRASILANDIA,92,50,42
2025,3,BUTANTA,127,64,63
2025,3,CACHOEIRINHA,60,18,42
