reference_period,camera_count,public_camera_count,private_integrated_count,source_id,notes
2023,7580,,,1,Valor anual reportado pelo Metrópoles; mês de referência não especificado.
2024-07,13400,13400,0,4,"Na inauguração da central, todas as câmeras eram da Prefeitura, segundo a publicação."
2024-11,21200,,4800,4,"Total reportado de 21,2 mil; 4,8 mil conectadas por terceiros. Contagem própria não explicitada separadamente."
2024,21310,,,1,Valor anual reportado pelo Metrópoles; difere levemente do marco oficial de novembro/2024.
2025-06,31323,20000,11323,3,"Total exato obtido pela soma da distribuição regional publicada; outra página oficial informa 31.323 e 20 mil próprias + 11,3 mil integradas."
2025-09,40000,20000,20000,4,Meta de 40 mil atingida em setembro de 2025.
2026-04,50000,20000,30000,5,50 mil câmeras conectadas e em operação.
